,Abstractionism,Art Nouveau,Baroque,Byzantine Art,Cubism,Expressionism,Impressionism,Mannerism,Muralism,Neoplasticism,Pop Art,Primitivism,Realism,Renaissance,Romanticism,Suprematism,Surrealism,Symbolism
diagonal_composition,-0.20182901888083693,-0.26680113097574826,-0.2053250268098961,-0.5342956793870218,-0.29293910531859946,-0.27604186608089193,0.484359939458512,-0.2545711417886433,-0.5890511346192752,-0.3021687952905939,-0.38008553716501403,-0.24935978543905749,-0.2750313751920183,-0.23401929296338245,0.13496737889002494,-0.2828565646912862,-0.27670683718606837,0.23820815808620135
diffused_light,-0.6621765002702067,-0.26692129211494403,0.22131836460903953,-0.5171885320792932,-0.7497972124797482,-0.6838281322394701,0.6105225116851275,0.21515769132490767,-0.5667447213743189,-0.5948655990605372,-0.6810802043140088,-0.780705338192846,0.2929171891063481,0.13933625972736377,0.24673538055302047,-0.694681627523449,-0.7370066167906842,0.19151581797636066
dynamic_energetic_mood,0.39187983533521165,-0.05535900843230333,-0.37155572368293344,-0.2854548213333011,0.3361266322019281,0.4043605854704485,0.020624342688653825,-0.3589981207177071,-0.24997697494493726,0.040728951924949505,0.33688458753687833,0.34551241711757497,-0.7101233321899728,-0.3504270113401128,-0.3042904302100889,0.3015579456105365,0.15810896870731625,0.12056288722506303
dynamic_movement,-0.010829917770508164,-0.38034540883984774,0.02555992049648517,-0.39404655791366067,-0.15283315655492638,-0.10417745786798761,0.04304861934554476,0.00520438689653515,-0.38986626814152653,-0.21953945688019086,-0.060982779593698966,0.056343445384214874,-0.3194230896121901,-0.01856089941654793,0.13993507208316341,-0.11644060778025492,-0.09486346605272099,-0.07342919563597003
flattened_space,0.6265840540587816,0.6424146108623641,-0.7618266049369891,0.22191037405515512,0.8041160133913685,0.7703611539789803,0.059179294731435614,-0.730220868707062,0.31234605983208696,0.5898129881057759,0.632650806956841,0.6627225020984099,-0.7026191469013701,-0.6841731179056251,-0.762789151020921,0.670376231464646,0.510594892078657,0.5271955705237668
flowing_organic_lines,-0.48075366353725724,-0.09821117276805083,-0.11016459947838043,-0.11693155784032071,-0.3750216182175782,-0.42599832994917664,0.30957999101665495,0.05527962594040014,-0.18685760086465306,-0.4293875637982726,-0.5040903898159835,-0.4356106834271501,0.17743926827849024,0.1992756933574472,-0.08952689643075665,-0.49151324163660537,-0.5147435002949663,0.3412699276513639
geometric_shapes,0.5603112638639026,0.256205263654315,-0.4657621708463599,0.3746582268969494,0.5416296490136433,0.5557389504828392,-0.43414973063571055,-0.32013654855523793,0.43211594136761045,0.5165622310808743,0.5117520630279749,0.6399617300055619,-0.4738895494881714,-0.054778056708511894,-0.6773537098458693,0.5907170028676536,0.7310228346322549,-0.08046668954373704
golden_hour_light,-0.6422337683681362,-0.43249527470154,0.2936476358635098,-0.34051880354775943,-0.7241310526258922,-0.6965854145744236,0.35583624833910427,0.2869693811933271,-0.4352767326266166,-0.5887892509830221,-0.710995714757757,-0.6657529727902297,0.34661196835224695,0.3181364683552817,0.19781194112106087,-0.6906775003736877,-0.5348713961775283,-0.09691001483428985
hierarchical_scale,-0.2233128177952007,-0.5397775789921901,0.5568504120208755,0.2744865814835205,-0.30181932032346526,-0.33512632236902584,-0.6411475735529586,0.6990448760511677,0.1511677212192301,-0.3798813960909297,-0.2735010758717557,-0.20317174147737932,0.43428748646187315,0.8918117340907894,0.2175338637588471,-0.27086463329664234,-0.06792006608087342,-0.6546079530761723
linear_perspective,-0.5632150615333521,-0.41347065639699193,0.11724602783268014,-0.3964666518808282,-0.6977518813758962,-0.6569397505178433,0.29973112999245544,0.12587057044315045,-0.42342381372209714,-0.3587825504277764,-0.5915247012337166,-0.44659301180684496,0.19527150157359205,0.24029786216558574,0.2767395186471921,-0.5701726195697868,-0.29927267168273425,-0.11702314273608982
loose_visible_brushstrokes,-0.29145767319378596,0.3045210331582167,-0.27306228019360246,-0.4741821376118832,-0.1350902074186974,-0.1087274612167531,0.87783423049087,-0.42929599947867436,-0.527258102018183,-0.255329481945472,-0.3542112360012831,-0.4628586939263971,-0.18324918652592959,-0.6039749296898022,-0.07370323134995183,-0.30424335793712026,-0.5559912819640894,0.7366561138586367
multiple_viewpoints,0.6199700195974839,0.011291609090127878,-0.25297639284212736,0.2836334031231125,0.5975925505877339,0.547495290907391,-0.4877003781540275,-0.16732062665657935,0.20794106321206685,0.17127200649400937,0.31642604319550566,0.476412870131397,-0.45591900984762757,0.011246715424462194,-0.4259699995408454,0.5247263611179027,0.49005500653172984,-0.12582448701013849
muted_tones,-0.22791449558731025,-0.050472016713240336,-0.2620161780728839,-0.222831635778946,-0.10016922799944905,-0.2394076453495817,0.38019113311999525,-0.35335644571948716,-0.2495109208144446,0.014441202852147492,-0.12072681554935605,-0.023695889485809824,-0.05928988166829919,-0.36160798411730083,0.2209312958909822,-0.1748033911229814,-0.03380403903010168,0.14794344833303505
naturalistic_rendering,-0.519734400276976,-0.22872460303950443,0.18617367715564026,-0.6847305932279185,-0.519561692047123,-0.49605560030295703,0.7213575373161739,-0.03610181526975467,-0.732452550723409,-0.4492911684085252,-0.5415474998033032,-0.6132213817991894,0.03558538194005576,-0.3006241189182088,0.3952467012171617,-0.547445753523798,-0.5562148485415825,0.21660054542957313
pastel_colors,-0.1978473085604958,-0.0057326185037655355,-0.3587901321204019,-0.3455296407377727,-0.3068876066659622,-0.2547618943030418,0.5415446771699167,-0.297146080854229,-0.2877087191447158,-0.019141750340345806,-0.3012404754332643,-0.18264194334289555,-0.15441453208312692,-0.2154917144916784,-0.26699402535651495,-0.19343992707908697,-0.0642162001517779,0.1778115721268204
photo_quality_rendering,-0.2705179698793784,-0.6014314806907838,0.6460162526785037,0.013327192888231473,-0.41881796202109434,-0.38555564672836057,-0.5674091799458898,0.7472550667739529,0.021489066997771002,-0.25851013835797737,-0.18989269373743872,-0.12405901175259686,0.4176634752483338,0.7866448390310943,0.2739741682667148,-0.2840144610753117,0.08099952833885053,-0.7685416950803013
polished_surface,0.03950954666819565,-0.4901207177304319,0.5139999124521373,0.23139744058467504,-0.1508723098981441,-0.09926645056172667,-0.7897161129206731,0.6436210188499937,0.29250917520710906,-0.026048435748544697,0.1804577819441568,0.1917404511274009,0.2841119991903076,0.7525551740402731,0.08116024926081854,0.02511710323048117,0.34198926769729693,-0.8201802814451321
portraits,-0.1584782359714419,-0.22832297896759374,0.4900311171786271,0.13112544283966585,0.06293019030783685,-0.0355341056769564,-0.32857112902372104,0.4509969837612758,-0.0022669249781004912,-0.4449669830063054,-0.038115885732330976,-0.2922121917109659,0.33521750484587526,0.3173829298582424,0.3256273609892628,-0.19065440933222594,-0.3217000077795383,-0.2026283099888811
religious_scenes,-0.2674523564303504,-0.4928223476927758,0.654661419739472,0.25844259743629805,-0.2971778674837284,-0.3392920219433642,-0.5710547435588289,0.7642668577304697,0.09821623252262453,-0.4741522108377828,-0.31796115886715287,-0.3597566959669892,0.4911910085466079,0.8667147682210969,0.28290899892307103,-0.31944988197285185,-0.2339068989143862,-0.5737604017785869
rich_deep_colors,-0.0377610621386082,0.11405922696625202,0.10087235369912025,-0.11734731451574698,-0.003013548576403146,0.139357263651882,0.012991946641154406,0.13989384795615395,-0.09449015851768637,-0.26124054371404304,0.0797740353202809,-0.161433147557603,-0.042125106636430806,0.0795860968525737,-0.24882951823550073,-0.09548744183001061,-0.3078762641613989,0.2371159045158351
sfumato_technique,-0.5140962221443839,-0.6004861651615866,0.5527206311577837,-0.335499003325987,-0.7183539958042432,-0.6372754501491268,0.026267348501470354,0.5383404196935638,-0.29170406741890925,-0.42456639028515125,-0.3574738835953755,-0.42137194549582857,0.48014440165881106,0.4645593165134873,0.4274371834463529,-0.5513745848307663,-0.3136179945048948,-0.5574968062744006
sharp_angular_forms,0.7288263260041277,0.19474983708057253,-0.47811715224814133,0.30642213622670506,0.724895723887324,0.7363405144922641,-0.5171116052341372,-0.3831637311587961,0.38169888140108943,0.5593236925014059,0.7247546797723085,0.8386159915996979,-0.6309713873597076,-0.20094763740921184,-0.6205969819983668,0.7330712636161845,0.8134223778704676,-0.1626741181817021
smooth_blending,-0.10185156950211753,-0.3142552583691851,0.6752881575445514,0.2522813951373354,-0.14326303332959162,-0.17328407588806083,-0.5094201452790738,0.6808688653075936,0.13605546722788123,-0.23899198229898133,-0.22086689640587184,-0.25072429657651024,0.5611819285206701,0.6416611920872387,0.45086318345260934,-0.15101606575140022,-0.05931098976522459,-0.5773297478572431
soft_rounded_forms,-0.6045418282679347,-0.60130112516045,0.5457629573117676,-0.6407061795098534,-0.7601423163269756,-0.6977106176454708,0.40454647255496773,0.41646611938791006,-0.6933816213603793,-0.6719772334026597,-0.5872427929355527,-0.7054090089806324,0.2818259711270776,0.18586267872169565,0.654842980848348,-0.6760065044518568,-0.6770796231718618,-0.1881369327366505
symmetrical_composition,0.016057226632890075,-0.0683522424220583,0.11297336941195828,0.3895139874342379,0.03913832096663035,0.056922474947844,-0.5515283320441067,0.32444870221191463,0.4276337877446643,0.030522002964223104,0.28145095398347414,0.13938370156942798,0.20979552350300498,0.5076416728302818,-0.22972488948995098,0.07338386857955795,0.1616620919777055,-0.3805139995970576
tense_dramatic,-0.13881048793717038,-0.606150559979301,0.5197886900075266,-0.1301722070868422,-0.1355454930390594,-0.17107496750746853,-0.40442292913741623,0.48406200572926955,-0.26223909314033783,-0.4992240310048123,-0.1024864717792941,-0.17156379652691986,0.1016233796882582,0.42335149110569675,0.4456948031027137,-0.24552208480431106,-0.21701453948280316,-0.4703088308550184
vibrant_colors,0.21321576257336886,0.14058308846127723,-0.39664407772831384,-0.13548442747932649,0.2489148264793533,0.3382107060806694,0.08444918660238487,-0.2510519270296669,-0.08997018771735292,-0.09574038769494879,0.16531771027580858,0.1159707572497997,-0.5040676510646244,-0.1646614098013172,-0.6323299782424674,0.12781639692741986,-0.023709116443195503,0.350812724484013
